Model Number,FLUKE A3000FC
Tool Name,A3000FC - B
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 13:01:01,Jun 30 2024 13:56:34,1:00:55:33,00:01:00,1496

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
140,Jun 29 2024 15:20:01,00:01:00,Jun 29 2024 15:20:26,"11.8","11.1",Jun 29 2024 15:20:07,"10.6",Jun 29 2024 15:21:01
141,Jun 29 2024 15:21:01,00:01:00,Jun 29 2024 15:21:11,"12.3","10.9",Jun 29 2024 15:22:01,"10.7",Jun 29 2024 15:22:01
142,Jun 29 2024 15:22:01,00:01:00,Jun 29 2024 15:22:11,"12.3","10.8",Jun 29 2024 15:22:19,"10.6",Jun 29 2024 15:23:01
143,Jun 29 2024 15:23:01,00:01:00,Jun 29 2024 15:23:11,"12.3","11",Jun 29 2024 15:23:11,"10.6",Jun 29 2024 15:24:01
144,Jun 29 2024 15:24:01,00:01:00,Jun 29 2024 15:25:00,"12.3","10.8",Jun 29 2024 15:24:54,"10.5",Jun 29 2024 15:25:01
145,Jun 29 2024 15:25:01,00:01:00,Jun 29 2024 15:25:07,"12.3","11.2",Jun 29 2024 15:25:41,"10.7",Jun 29 2024 15:26:01
146,Jun 29 2024 15:26:01,00:01:00,Jun 29 2024 15:26:26,"11.9","10.9",Jun 29 2024 15:26:50,"10.6",Jun 29 2024 15:27:01
147,Jun 29 2024 15:27:01,00:01:00,Jun 29 2024 15:27:56,"11.9","10.9",Jun 29 2024 15:27:15,"10.6",Jun 29 2024 15:28:01
148,Jun 29 2024 15:28:01,00:01:00,Jun 29 2024 15:28:26,"11.9","11.1",Jun 29 2024 15:28:07,"10.6",Jun 29 2024 15:29:01
149,Jun 29 2024 15:29:01,00:01:00,Jun 29 2024 15:29:41,"12.2","11",Jun 29 2024 15:29:56,"10.6",Jun 29 2024 15:30:01
